Accessible data table begins in Cell A5. Item descriptions are contained within input messages in Cell G5 through Cell AI5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"General Relief and Interim Assistance to Applicants for SSI/SSP
Monthly Caseload and Expenditure Report
(GR 237)",,,,,,,PART A.  CASELOAD (GENERAL RELIEF AND INTERIM ASSISTANCE),,,,,,PART B.  CASELOAD AND EXPENDITURES,,,,,,,,,,,PART C.  SSI/SSP INTERIM ASSISTANCE,,,,,,,,,,,PART E. NET GENERAL RELIEF EXPENDITURES,
,,,,,,,Adjustment,"1. Cases
brought
forward","2. Cases 
added
during 
month",3. Total cases available during month,4. Cases discontinued during month,5. Cases carried forward to next month,6. Total cases,a. Family cases,b. One-person cases,6. Total cases,a. Family cases,b. One-person cases,6. Total GR,(1) Amount in cash,(2) Amount in kind,a. Family cases,b. One-person cases,7. Cases added during month,8. Total SSA checks disposed of during month,8a. Disposed within 1-10 working days,9. SSA sent SSI/SSP check directly to recipient,10. Denial notice received,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,,
,,,,,,,,,,,,,"CASES
A",,,"PERSONS
B",,,"AMOUNT
C",,,,,,,,,,"CASES
A",,,"AMOUNT
C",,,"Net General Relief
Expenditure (Column C 
Items 6 - Item 11)",
Date,Month,Year,County Name,County Code,SFY,FFY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,
Jul17,7,2017,Statewide,00,2017-18,2017,*,97094,25814,122908,32668,90240,127159,2612,124547,129969,5422,124547,28550103,27629440,920663,735990,27814113,11951,735,734,*,1632,810,713,97,2666224,2595501,70723,25883879,
Jul17,7,2017,Alameda,01,2017-18,2017,7255,7807,1190,8997,1118,7879,8911,173,8738,9084,346,8738,3078892,3078892,0,92363,2986529,*,58,58,0,181,58,58,0,436349,436349,0,2642543,
Jul17,7,2017,Alpine,02,2017-18,2017,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jul17,7,2017,Amador,03,2017-18,2017,-3,*,*,*,*,*,*,0,*,*,0,*,2025,2025,0,0,2025,0,0,0,0,0,0,0,0,0,0,0,2025,
Jul17,7,2017,Butte,04,2017-18,2017,-655,383,60,443,69,374,443,0,443,443,0,443,147778,147778,0,0,147778,20,*,*,0,0,*,*,*,51463,31789,19674,96315,
Jul17,7,2017,Calaveras,05,2017-18,2017,27,33,*,36,*,28,28,0,28,28,0,28,8674,7754,920,0,8674,*,0,0,0,0,0,0,0,499,0,499,8175,
Jul17,7,2017,Colusa,06,2017-18,2017,-83,12,*,14,*,13,*,0,*,*,0,*,2680,1712,968,0,2680,0,0,0,0,0,0,0,0,40,0,40,2640,
Jul17,7,2017,Contra Costa,07,2017-18,2017,-2699,600,158,758,174,584,766,0,766,766,0,766,137738,112602,25136,0,137738,*,20,20,0,55,20,20,0,48114,48114,0,89624,
Jul17,7,2017,Del Norte,08,2017-18,2017,-10,*,*,*,0,*,*,0,*,*,0,*,1403,0,1403,0,1403,0,0,0,0,0,0,0,0,0,0,0,1403,
Jul17,7,2017,El Dorado,09,2017-18,2017,-160,70,11,81,14,67,67,0,67,67,0,67,7439,5263,2176,0,7439,0,0,0,0,0,0,0,0,882,559,323,6557,
Jul17,7,2017,Fresno,10,2017-18,2017,2478,2522,569,3091,587,2504,3274,*,3266,3282,16,3266,724551,724551,0,2664,721887,158,35,35,0,106,35,35,0,84480,84480,0,640071,
Jul17,7,2017,Glenn,11,2017-18,2017,-17,15,*,18,*,14,15,0,15,15,0,15,6469,4469,2000,0,6469,0,0,0,0,0,0,0,0,0,0,0,6469,
Jul17,7,2017,Humboldt,12,2017-18,2017,-322,150,70,220,74,146,220,0,220,220,0,220,61045,59935,1110,0,61045,*,*,*,0,*,*,*,*,32515,18641,13874,28530,
Jul17,7,2017,Imperial,13,2017-18,2017,54,59,*,66,*,62,54,0,54,54,0,54,9569,2703,6866,0,9569,0,0,0,0,0,0,0,0,0,0,0,9569,
Jul17,7,2017,Inyo,14,2017-18,2017,16,24,*,34,*,30,34,0,34,34,0,34,11761,11761,0,0,11761,*,0,0,0,0,0,0,0,0,0,0,11761,
Jul17,7,2017,Kern,15,2017-18,2017,684,723,202,925,194,731,901,0,901,901,0,901,232417,232417,0,0,232417,202,*,*,0,32,*,*,0,2639,2639,0,229778,
Jul17,7,2017,Kings,16,2017-18,2017,-77663,22,18,40,*,33,33,*,32,34,*,32,7986,0,7986,910,7076,0,0,0,0,0,0,0,0,25,0,25,7961,
Jul17,7,2017,Lake,17,2017-18,2017,-136,*,0,*,0,*,*,0,*,*,0,*,117,117,0,0,117,0,0,0,0,0,0,0,0,0,0,0,117,
Jul17,7,2017,Lassen,18,2017-18,2017,-631,65,15,80,11,69,69,*,67,69,*,67,22204,22204,0,550,21654,*,0,0,0,*,*,0,*,12141,756,11385,10063,
Jul17,7,2017,Los Angeles,19,2017-18,2017,59940,59967,17576,77543,24064,53479,84421,2282,82139,86904,4765,82139,16884337,16719958,164379,546131,16338206,11214,371,371,0,784,371,371,0,1180838,1180838,0,15703499,
Jul17,7,2017,Madera,20,2017-18,2017,85,146,*,154,*,153,126,*,120,132,12,120,30960,30960,0,2904,28056,0,0,0,0,0,0,0,0,0,0,0,30960,
Jul17,7,2017,Marin,21,2017-18,2017,480,561,105,666,49,617,563,0,563,563,0,563,197139,197139,0,0,197139,*,*,*,0,*,*,*,0,19739,18979,760,177400,
Jul17,7,2017,Mariposa,22,2017-18,2017,-21,0,23,23,23,0,23,0,23,23,0,23,5799,5799,0,0,5799,0,0,0,0,0,0,0,0,0,0,0,5799,
