Accessible data table begins in Cell A5. Item descriptions are contained within input messages in Row 5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"General Relief and Interim Assistance to Applicants for SSI/SSP
Monthly Caseload and Expenditure Report
(GR 237)",,,,,,,PART A.  CASELOAD (GENERAL RELIEF AND INTERIM ASSISTANCE),,,,,,PART B.  CASELOAD AND EXPENDITURES,,,,,,,,,,,PART C.  SSI/SSP INTERIM ASSISTANCE,,,,,,,,,,,PART E. NET GENERAL RELIEF EXPENDITURES,
,,,,,,,Adjustment,"1. Cases
brought
forward","2. Cases 
added
during 
month",3. Total cases available during month,4. Cases discontinued during month,5. Cases carried forward to next month,6. Total cases,a. Family cases,b. One-person cases,6. Total cases,a. Family cases,b. One-person cases,6. Total GR,(1) Amount in cash,(2) Amount in kind,a. Family cases,b. One-person cases,7. Cases added during month,8. Total SSA checks disposed of during month,8a. Disposed within 1-10 working days,9. SSA sent SSI/SSP check directly to recipient,10. Denial notice received,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,,
,,,,,,,,,,,,,"CASES
A",,,"PERSONS
B",,,"AMOUNT
C",,,,,,,,,,"CASES
A",,,"AMOUNT
C",,,"Net General Relief
Expenditure",
Date,County Name, ,County Code,SFY,FFY,Report Month,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Cell 16,Cell 17,Cell 18,Cell 19,Cell 20,Cell 21,Cell 22,Cell 23,Cell 24,Cell 25,Cell 26,Cell 27,Cell 28,Cell 29,
Jul23,Statewide,,00,2023-24,2023,Jul 2023,0,148860,19102,167962,19637,148325,163573,662,162911,164227,1316,162911,41161192.18,40918035.18,*,*,40883084.18,6316,388,387,*,1207,437,383,54,1489164,1433563,55601,39672028.18,
Jul23,Alameda,,01,2023-24,2023,Jul 2023,0,6435,709,7144,730,6414,7146,59,7087,7205,118,7087,2538560,2538510,50,31157,2507403,*,27,27,0,123,27,27,0,279292,279292,0,2259268,
Jul23,Alpine,,02,2023-24,2023,Jul 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jul23,Amador,,03,2023-24,2023,Jul 2023,0,*,0,*,*,*,*,0,*,*,0,*,662,662,0,0,662,0,0,0,0,0,0,0,0,0,0,0,662,
Jul23,Butte,,04,2023-24,2023,Jul 2023,0,285,93,378,70,308,377,0,377,377,0,377,288931,288931,0,0,288931,0,*,*,0,0,0,0,0,12536,11561,975,276395,
Jul23,Calaveras,,05,2023-24,2023,Jul 2023,0,*,0,*,0,*,*,0,*,*,0,*,890,890,0,0,890,0,0,0,0,0,0,0,0,20,0,20,870,
Jul23,Colusa,,06,2023-24,2023,Jul 2023,0,*,*,*,*,*,*,0,*,*,0,*,1114,1114,0,0,1114,0,0,0,0,0,0,0,0,0,0,0,1114,
Jul23,Contra Costa,,07,2023-24,2023,Jul 2023,0,540,106,646,95,551,562,*,*,564,*,*,132592,132592,0,327,132265,0,0,0,0,32,11,11,0,27759,27759,0,104833,
Jul23,Del Norte,,08,2023-24,2023,Jul 2023,0,50,0,50,*,*,43,0,43,43,0,43,10733,10733,0,0,10733,0,0,0,0,0,0,0,0,0,0,0,10733,
Jul23,El Dorado,,09,2023-24,2023,Jul 2023,0,61,37,98,53,45,110,0,110,110,0,110,20196,20042,154,0,20196,0,0,0,0,0,14,0,14,4470,0,4470,15726,
Jul23,Fresno,,10,2023-24,2023,Jul 2023,0,927,206,1133,156,977,1134,*,*,1141,14,1127,222205,222205,0,2793,219412,37,*,*,0,67,*,*,0,3963,3963,0,218242,
Jul23,Glenn,,11,2023-24,2023,Jul 2023,0,*,*,21,*,*,23,0,23,23,0,23,6828,6828,0,0,6828,0,0,0,0,0,0,0,0,0,0,0,6828,
Jul23,Humboldt,,12,2023-24,2023,Jul 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul23,Imperial,,13,2023-24,2023,Jul 2023,0,60,31,91,11,80,118,0,118,118,0,118,19971,5095,14876,0,19971,31,0,0,0,0,0,0,0,0,0,0,19971,
Jul23,Inyo,,14,2023-24,2023,Jul 2023,0,*,*,11,0,11,11,0,11,11,0,11,5854,5854,0,0,5854,0,0,0,0,0,0,0,0,0,0,0,5854,
Jul23,Kern,,15,2023-24,2023,Jul 2023,0,2550,388,2938,315,2623,1301,11,1290,1312,22,1290,615355,615355,0,5490,609865,88,11,11,0,22,11,11,0,16528,16503,25,598827,
Jul23,Kings,,16,2023-24,2023,Jul 2023,0,71,34,105,40,65,105,0,105,105,0,105,25860,25860,0,0,25860,*,0,0,0,0,0,0,0,255,0,255,25605,
Jul23,Lake,,17,2023-24,2023,Jul 2023,0,27,67,94,71,23,*,0,*,*,0,*,285,285,0,0,285,0,0,0,0,0,0,0,0,0,0,0,285,
Jul23,Lassen,,18,2023-24,2023,Jul 2023,0,*,*,32,*,*,32,0,32,32,0,32,10896,10896,0,0,10896,0,0,0,0,0,0,0,0,0,0,0,10896,
Jul23,Los Angeles,,19,2023-24,2023,Jul 2023,0,107749,11589,119338,12113,107225,119338,417,118921,119755,834,118921,26041757,26040728,1029,149475,25892282,5776,205,205,0,498,205,205,0,536917,536917,0,25504840,
Jul23,Madera,,20,2023-24,2023,Jul 2023,0,*,*,72,*,*,37,0,37,37,0,37,10296,10296,0,0,10296,0,0,0,0,0,0,0,0,0,0,0,10296,
Jul23,Marin,,21,2023-24,2023,Jul 2023,0,1087,67,1154,62,1092,1118,0,1118,1118,0,1118,419818,419818,0,0,419818,0,0,0,0,*,*,0,*,235,0,235,419583,
