Date,Report_Month,County_Name,County_Code,Metric,Value
2020-07-01,Jul 2020,Alameda,01,Total GR Cases,8215.0
2020-07-01,Jul 2020,Calaveras,05,One-person Cases,
2020-07-01,Jul 2020,Butte,04,One-person Cases,538.0
2020-07-01,Jul 2020,Amador,03,One-person Cases,
2020-07-01,Jul 2020,Alpine,02,One-person Cases,0.0
2020-07-01,Jul 2020,Alameda,01,One-person Cases,8116.0
2020-07-01,Jul 2020,Alpine,02,Total GR Expenditure,0.0
2020-07-01,Jul 2020,Alpine,02,Net GR Expenditure,0.0
2020-07-01,Jul 2020,Amador,03,Net GR Expenditure,958.0
2020-07-01,Jul 2020,Butte,04,Net GR Expenditure,241050.0
2020-07-01,Jul 2020,Calaveras,05,Net GR Expenditure,3718.0
2020-07-01,Jul 2020,Colusa,06,Net GR Expenditure,520.0
2020-07-01,Jul 2020,Contra Costa,07,Net GR Expenditure,121151.0
2020-07-01,Jul 2020,Del Norte,08,Net GR Expenditure,6158.0
2020-07-01,Jul 2020,El Dorado,09,Net GR Expenditure,8872.0
2020-07-01,Jul 2020,Fresno,10,Net GR Expenditure,463851.0
2020-07-01,Jul 2020,Glenn,11,Net GR Expenditure,7514.0
2020-07-01,Jul 2020,Humboldt,12,Net GR Expenditure,10770.0
2020-07-01,Jul 2020,Colusa,06,One-person Cases,
2020-07-01,Jul 2020,Contra Costa,07,One-person Cases,579.0
2020-07-01,Jul 2020,Del Norte,08,One-person Cases,23.0
2020-07-01,Jul 2020,El Dorado,09,One-person Cases,70.0
2020-07-01,Jul 2020,Monterey,27,One-person Cases,
2020-07-01,Jul 2020,Mono,26,One-person Cases,
2020-07-01,Jul 2020,Modoc,25,One-person Cases,28.0
2020-07-01,Jul 2020,Merced,24,One-person Cases,109.0
2020-07-01,Jul 2020,Mendocino,23,One-person Cases,28.0
2020-07-01,Jul 2020,Mariposa,22,One-person Cases,43.0
2020-07-01,Jul 2020,Marin,21,One-person Cases,732.0
2020-07-01,Jul 2020,Madera,20,One-person Cases,
2020-07-01,Jul 2020,Imperial,13,Net GR Expenditure,15214.0
2020-07-01,Jul 2020,Los Angeles,19,One-person Cases,105060.0
2020-07-01,Jul 2020,Lake,17,One-person Cases,0.0
2020-07-01,Jul 2020,Kings,16,One-person Cases,38.0
2020-07-01,Jul 2020,Kern,15,One-person Cases,
2020-07-01,Jul 2020,Inyo,14,One-person Cases,27.0
2020-07-01,Jul 2020,Imperial,13,One-person Cases,75.0
2020-07-01,Jul 2020,Humboldt,12,One-person Cases,180.0
2020-07-01,Jul 2020,Glenn,11,One-person Cases,27.0
2020-07-01,Jul 2020,Fresno,10,One-person Cases,
2020-07-01,Jul 2020,Lassen,18,One-person Cases,44.0
2020-07-01,Jul 2020,Inyo,14,Net GR Expenditure,12478.0
2020-07-01,Jul 2020,Kern,15,Net GR Expenditure,434157.0
2020-07-01,Jul 2020,Kings,16,Net GR Expenditure,5635.0
2020-07-01,Jul 2020,San Joaquin,39,Net GR Expenditure,39233.0
2020-07-01,Jul 2020,San Luis Obispo,40,Net GR Expenditure,150314.0
2020-07-01,Jul 2020,San Mateo,41,Net GR Expenditure,143677.0
2020-07-01,Jul 2020,Santa Barbara,42,Net GR Expenditure,23259.0
2020-07-01,Jul 2020,Santa Clara,43,Net GR Expenditure,671134.0
2020-07-01,Jul 2020,Santa Cruz,44,Net GR Expenditure,67764.0
2020-07-01,Jul 2020,Shasta,45,Net GR Expenditure,74108.0
2020-07-01,Jul 2020,Sierra,46,Net GR Expenditure,5187.0
2020-07-01,Jul 2020,San Francisco,38,Net GR Expenditure,2420027.0
2020-07-01,Jul 2020,Siskiyou,47,Net GR Expenditure,9431.0
2020-07-01,Jul 2020,Sonoma,49,Net GR Expenditure,34879.0
2020-07-01,Jul 2020,Stanislaus,50,Net GR Expenditure,84313.0
2020-07-01,Jul 2020,Sutter,51,Net GR Expenditure,2179.0
2020-07-01,Jul 2020,Tehama,52,Net GR Expenditure,1948.0
2020-07-01,Jul 2020,Trinity,53,Net GR Expenditure,1892.0
2020-07-01,Jul 2020,Tulare,54,Net GR Expenditure,29401.0
2020-07-01,Jul 2020,Tuolumne,55,Net GR Expenditure,440.0
2020-07-01,Jul 2020,Ventura,56,Net GR Expenditure,42619.0
2020-07-01,Jul 2020,Solano,48,Net GR Expenditure,125738.0
2020-07-01,Jul 2020,Napa,28,One-person Cases,
2020-07-01,Jul 2020,San Diego,37,Net GR Expenditure,2066475.0
2020-07-01,Jul 2020,San Benito,35,Net GR Expenditure,27869.0
2020-07-01,Jul 2020,Lake,17,Net GR Expenditure,0.0
2020-07-01,Jul 2020,Lassen,18,Net GR Expenditure,12012.0
